Clark Jones,986,426,1528.2894389093135
Kristine Mann,340,853,1212.9231283481938
Lora Brock,546,549,1384.5041610776907
Elaine Gregory,630,996,1278.3998454466237
Jessie Dawson,912,259,1639.9088491980674
Debbie Cox,248,334,1341.514910292774
Adrian Griffin,572,599,1344.3988979135936
Patrick Mills,752,269,1589.1313376637147
Roderick Jimenez,757,380,1547.1437694397084
Denise Warner,248,102,1539.7639151324431
Kelly Steele,980,769,1418.5400649392489
Virginia Tyler,943,743,1508.68595214231
Clint Massey,648,312,1523.57168184907
Teresa Cannon,805,857,1450.9843692634256
Kurt Obrien,736,761,1423.29330147217
Mildred Rogers,619,721,1338.3580074629751
Laura Barton,909,423,1547.0365279629068
Johnnie Wallace,967,515,1540.1197601675376
Kent Johnston,610,208,1568.0642195770556
Cory Bishop,566,243,1544.8227402701175
Christian Warren,188,511,1200.033922949121
Carl Snyder,338,555,1318.8770773843946
Pedro Stokes,264,364,1274.6584838209878
Monique Schmidt,415,796,1304.2404955954112
Celia Garcia,486,921,1245.2650909556269
Marvin Hubbard,157,62,1576.4077684253473
Marie Jackson,740,845,1343.555937717093
Horace Barber,668,493,1445.6443147587934
Michelle Fisher,718,685,1425.7478071868552
Donna Harmon,783,247,1639.160823234982
Della Rose,866,192,1685.9241766131213
Jeannette Francis,971,318,1680.0672296669584
Robin Richardson,548,151,1628.8144843910782
Pat Allen,349,367,1389.0278455318419
Ruby Zimmerman,746,935,1385.8958079924187
Lindsey Simpson,988,333,1596.432821140673
Fernando Warren,171,59,1595.8368653120172
Sheldon Martin,106,32,1608.998409376044
Lynda Maldonado,855,399,1559.8654807114895
Moses Walters,682,254,1615.0138356503976
Elisa Hunt,987,298,1616.3711699390328
Jennifer Love,805,441,1532.3575514210363
Brenda Davis,970,587,1559.8690640181385
Clifton Mendez,656,562,1491.7624330460242
Johnnie Carter,647,564,1471.8467769385513
Kate Wells,964,660,1489.808227872186
Marjorie Tyler,747,572,1438.1336924069144
Dianne Howard,196,175,1449.6303053740241
